stem,association,high_freq,low_freq,ratio
تمسخر,positive/low_proxy,6,13,2.1666666666666665
سرخ‌کن,positive/low_proxy,10,35,3.5
ندوس,positive/low_proxy,2,12,6.0
ادام,positive/low_proxy,4,13,3.25
ووی,positive/low_proxy,4,10,2.5
دختراشون,positive/low_proxy,5,17,3.4
لی‌ل,positive/low_proxy,2,12,6.0
قلبتون,positive/low_proxy,2,15,7.5
لبنی,positive/low_proxy,46,101,2.1956521739130435
پسربچه,positive/low_proxy,7,15,2.142857142857143
والعصر,positive/low_proxy,4,17,4.25
کلاسا,positive/low_proxy,5,21,4.2
اریا,positive/low_proxy,0,11,inf
ژنتیکه,positive/low_proxy,9,30,3.3333333333333335
۴۰۲,positive/low_proxy,5,15,3.0
فرمون,positive/low_proxy,16,37,2.3125
عمرا,positive/low_proxy,29,68,2.3448275862068964
مبینا,positive/low_proxy,3,22,7.333333333333333
هندزفر,positive/low_proxy,8,17,2.125
حریره,positive/low_proxy,1,14,14.0
صاحبخونه,positive/low_proxy,9,22,2.4444444444444446
اپارت,positive/low_proxy,7,18,2.5714285714285716
بجوشون,positive/low_proxy,11,31,2.8181818181818183
جستجو,positive/low_proxy,7,16,2.2857142857142856
اهداف,positive/low_proxy,10,28,2.8
بشخصه,positive/low_proxy,4,14,3.5
کاکائو,positive/low_proxy,14,52,3.7142857142857144
قرمه,positive/low_proxy,53,118,2.2264150943396226
درود,positive/low_proxy,5,32,6.4
آنتن,positive/low_proxy,5,20,4.0
قانونه,positive/low_proxy,4,15,3.75
پروی,positive/low_proxy,1,12,12.0
قیمتش,positive/low_proxy,5,24,4.8
سرگرم,positive/low_proxy,39,91,2.3333333333333335
سوه,positive/low_proxy,5,11,2.2
شیخ,positive/low_proxy,1,11,11.0
۱۷۳,positive/low_proxy,4,13,3.25
خوش‌هیکل,positive/low_proxy,4,12,3.0
پولاتو,positive/low_proxy,1,11,11.0
لمین,positive/low_proxy,5,17,3.4
جمعی,positive/low_proxy,13,33,2.5384615384615383
وانیل,positive/low_proxy,6,20,3.3333333333333335
نپوشید,positive/low_proxy,2,13,6.5
۹۰۰,positive/low_proxy,10,35,3.5
دیور,positive/low_proxy,3,14,4.666666666666667
تیشر,positive/low_proxy,15,32,2.1333333333333333
بیزحم,positive/low_proxy,2,16,8.0
وب,positive/low_proxy,7,22,3.142857142857143
زردچوبه,positive/low_proxy,22,61,2.772727272727273
فرکانس,positive/low_proxy,4,13,3.25
نسوزه,positive/low_proxy,4,26,6.5
خودخواسته,positive/low_proxy,5,11,2.2
سهمیه,positive/low_proxy,24,54,2.25
خنکه,positive/low_proxy,4,13,3.25
سادس,positive/low_proxy,10,25,2.5
نفخه,positive/low_proxy,4,10,2.5
موهاتو,positive/low_proxy,22,57,2.590909090909091
عملی,positive/low_proxy,5,15,3.0
قلعه,positive/low_proxy,2,11,5.5
مربع,positive/low_proxy,9,27,3.0
شانسه,positive/low_proxy,5,17,3.4
خواند,positive/low_proxy,6,16,2.6666666666666665
پدره,positive/low_proxy,7,20,2.857142857142857
نارنج,positive/low_proxy,23,58,2.5217391304347827
گندم,positive/low_proxy,7,48,6.857142857142857
عبا,positive/low_proxy,5,12,2.4
ویدیو,positive/low_proxy,16,34,2.125
بعیده,positive/low_proxy,10,30,3.0
فلز,positive/low_proxy,6,13,2.1666666666666665
