rank,threshold_low_moderate,threshold_moderate_high,threshold_high_very_high,accuracy,macro_f1,low_precision,moderate_precision,high_precision,very_high_precision,low_recall,moderate_recall,high_recall,very_high_recall
25,2.808963801919,4.905160815295,6.4621351159455,0.7389380530973452,0.6678043607299441,0.93359375,0.36134453781512604,0.6226415094339622,0.7916666666666666,0.8047138047138047,0.6417910447761194,0.5238095238095238,0.76
26,3.1658580814685,4.905160815295,6.4621351159455,0.7610619469026548,0.667733547550445,0.9081272084805654,0.3804347826086957,0.6226415094339622,0.7916666666666666,0.8653198653198653,0.5223880597014925,0.5238095238095238,0.76
27,2.9918022553995,4.878916341613,6.4621351159455,0.7477876106194691,0.6676613752482822,0.924812030075188,0.37037037037037035,0.6111111111111112,0.7916666666666666,0.8282828282828283,0.5970149253731343,0.5238095238095238,0.76
28,2.9332506729425,4.9254948908195,6.4621351159455,0.745575221238938,0.6675317953268264,0.9277566539923955,0.37168141592920356,0.6153846153846154,0.7916666666666666,0.8215488215488216,0.6268656716417911,0.5079365079365079,0.76
29,3.110573440635,4.905160815295,6.4621351159455,0.754424778761062,0.6674600014213983,0.9130434782608695,0.37373737373737376,0.6226415094339622,0.7916666666666666,0.8484848484848485,0.5522388059701493,0.5238095238095238,0.76
30,2.9918022553995,4.9254948908195,6.4621351159455,0.7477876106194691,0.6672996637590836,0.924812030075188,0.37272727272727274,0.6153846153846154,0.7916666666666666,0.8282828282828283,0.6119402985074627,0.5079365079365079,0.76
31,3.1425877214815,4.905160815295,6.4621351159455,0.7566371681415929,0.6670344892946248,0.910394265232975,0.375,0.6226415094339622,0.7916666666666666,0.8552188552188552,0.5373134328358209,0.5238095238095238,0.76
32,3.0544828662840002,4.905160815295,6.4621351159455,0.7477876106194691,0.6670335731951905,0.9182156133828996,0.36792452830188677,0.6226415094339622,0.7916666666666666,0.8316498316498316,0.582089552238806,0.5238095238095238,0.76
33,2.8550343018665,4.878916341613,6.4621351159455,0.7411504424778761,0.6670144261357006,0.9305019305019305,0.3652173913043478,0.6111111111111112,0.7916666666666666,0.8114478114478114,0.6268656716417911,0.5238095238095238,0.76
34,3.0778644122100003,4.878916341613,6.4621351159455,0.7522123893805309,0.6670128830850359,0.9191176470588235,0.37254901960784315,0.6111111111111112,0.7916666666666666,0.8417508417508418,0.5671641791044776,0.5238095238095238,0.76
35,2.6730413553604997,4.905160815295,6.4621351159455,0.7323008849557522,0.6669849554972963,0.9397590361445783,0.35714285714285715,0.6226415094339622,0.7916666666666666,0.7878787878787878,0.6716417910447762,0.5238095238095238,0.76
36,3.1620176587805,4.878916341613,6.4621351159455,0.7610619469026548,0.6669004547305736,0.9113475177304965,0.3804347826086957,0.6111111111111112,0.7916666666666666,0.8653198653198653,0.5223880597014925,0.5238095238095238,0.76
37,2.9096123539559997,4.878916341613,6.4621351159455,0.7433628318584071,0.6667807467376874,0.9274809160305344,0.36607142857142855,0.6111111111111112,0.7916666666666666,0.8181818181818182,0.6119402985074627,0.5238095238095238,0.76
38,3.1620176587805,4.9254948908195,6.4621351159455,0.7610619469026548,0.6667435976418051,0.9113475177304965,0.3829787234042553,0.6153846153846154,0.7916666666666666,0.8653198653198653,0.5373134328358209,0.5079365079365079,0.76
39,3.0778644122100003,4.9254948908195,6.4621351159455,0.7522123893805309,0.6667267290583432,0.9191176470588235,0.375,0.6153846153846154,0.7916666666666666,0.8417508417508418,0.582089552238806,0.5079365079365079,0.76
40,2.7900504367285004,4.905160815295,6.4621351159455,0.7367256637168141,0.6666719025077661,0.9333333333333333,0.35833333333333334,0.6226415094339622,0.7916666666666666,0.8013468013468014,0.6417910447761194,0.5238095238095238,0.76
41,2.8550343018665,4.9254948908195,6.4621351159455,0.7411504424778761,0.6665824305950093,0.9305019305019305,0.36752136752136755,0.6153846153846154,0.7916666666666666,0.8114478114478114,0.6417910447761194,0.5079365079365079,0.76
42,2.971599567811,4.878916341613,6.4621351159455,0.745575221238938,0.6665110859315232,0.9245283018867925,0.3669724770642202,0.6111111111111112,0.7916666666666666,0.8249158249158249,0.5970149253731343,0.5238095238095238,0.76
43,2.9096123539559997,4.9254948908195,6.4621351159455,0.7433628318584071,0.6663825002773643,0.9274809160305344,0.3684210526315789,0.6153846153846154,0.7916666666666666,0.8181818181818182,0.6268656716417911,0.5079365079365079,0.76
44,3.1078986014855,4.905160815295,6.4621351159455,0.7522123893805309,0.6663029678501199,0.9127272727272727,0.37,0.6226415094339622,0.7916666666666666,0.8451178451178452,0.5522388059701493,0.5238095238095238,0.76
45,3.128633406958,4.878916341613,6.4621351159455,0.7566371681415929,0.6662022051162013,0.9136690647482014,0.375,0.6111111111111112,0.7916666666666666,0.8552188552188552,0.5373134328358209,0.5238095238095238,0.76
46,2.971599567811,4.9254948908195,6.4621351159455,0.745575221238938,0.6661480553779698,0.9245283018867925,0.36936936936936937,0.6153846153846154,0.7916666666666666,0.8249158249158249,0.6119402985074627,0.5079365079365079,0.76
47,3.128633406958,4.9254948908195,6.4621351159455,0.7566371681415929,0.6659987631416203,0.9136690647482014,0.37755102040816324,0.6153846153846154,0.7916666666666666,0.8552188552188552,0.5522388059701493,0.5079365079365079,0.76
48,3.041014057081,4.905160815295,6.4621351159455,0.745575221238938,0.6658870108922421,0.917910447761194,0.3644859813084112,0.6226415094339622,0.7916666666666666,0.8282828282828283,0.582089552238806,0.5238095238095238,0.76
49,2.8436372276029998,4.878916341613,6.4621351159455,0.7389380530973452,0.6658735066229212,0.9302325581395349,0.3620689655172414,0.6111111111111112,0.7916666666666666,0.8080808080808081,0.6268656716417911,0.5238095238095238,0.76
